onu_id,fiber_length_km,split_ratio,network_load,packet_size_bytes,packets_per_sec,traffic_rate_mbps,buffer_occupancy,bandwidth_allocated_mbps,queue_delay_ms,latency_ms,jitter_ms,received_power_dbm,snr_db,ber,traffic_type,congestion,fault_event
5,14.46,32,0.411,131.62,122.45,2.131,26.73,1.845,2.015,5.733,0.553,-20.163,25.01,0.0005022783287150347,iot,0,0
18,6.31,32,0.58,489.77,214.43,4.467,50.98,4.729,4.978,5.37,0.817,-15.718,26.265,0.00039511619444880156,gaming,0,0
24,6.77,32,0.284,916.04,340.47,7.118,45.95,10.315,5.54,9.204,0.752,-16.984,25.914,0.00036703298789464797,video,0,0
4,12.81,32,0.87,1500.0,233.74,5.953,71.93,8.664,5.736,6.255,0.898,-17.9,22.27,0.0009915533721325813,video,0,0
3,14.43,32,0.568,448.15,124.81,0.904,25.61,1.72,5.372,6.366,0.88,-17.113,26.766,0.00019797775341983312,iot,0,0
21,16.65,32,0.335,789.55,212.12,2.096,38.65,3.062,5.113,6.673,0.617,-21.292,26.115,0.0003167391612935268,web,0,0
8,19.78,32,0.346,878.3,271.66,5.37,57.74,7.926,4.32,5.6,0.385,-22.544,20.484,0.0016939620748176764,video,0,0
3,10.2,32,0.214,682.19,173.12,3.085,34.24,3.971,1.325,1.712,0.171,-15.914,23.339,0.0006959515482266695,web,0,0
21,1.82,32,0.797,382.49,145.13,1.18,25.7,1.977,2.009,4.861,0.271,-19.13,27.051,0.00018290830983822828,iot,0,0
16,3.19,32,0.796,687.48,286.5,4.655,36.3,6.242,4.724,6.393,0.719,-14.453,27.136,0.00029794263970776553,gaming,0,0
25,15.82,32,0.788,408.46,303.4,2.949,47.24,4.805,6.565,8.568,1.107,-19.011,25.82,0.0003007054977867127,gaming,1,0
30,12.11,32,0.471,730.96,288.33,2.898,19.75,3.268,2.454,7.006,0.168,-15.758,25.14,0.0003129724630827752,web,0,0
17,6.46,32,0.877,647.35,273.56,3.718,46.34,3.99,4.578,7.167,1.04,-18.533,25.023,0.0003813150180548713,web,0,0
8,9.44,32,0.687,859.82,149.65,3.299,34.18,4.444,3.064,6.776,0.705,-17.202,20.978,0.0018327363641639231,web,0,0
10,5.1,32,0.203,853.95,234.79,2.065,23.01,2.246,2.1,3.966,0.273,-15.581,26.106,0.00027236962109517546,web,0,0
4,5.29,32,0.434,1230.84,203.31,6.937,82.26,9.508,4.529,6.942,0.868,-18.483,21.909,0.0009984209935848202,video,0,0
29,3.42,32,0.403,591.38,253.35,4.831,40.38,7.508,5.207,8.448,0.967,-17.134,25.983,0.00039734714341429524,gaming,0,0
29,19.35,32,0.333,406.24,87.3,0.259,24.74,0.447,2.554,7.006,0.124,-19.436,20.748,0.0012323061522466758,iot,0,0
21,17.69,32,0.243,1237.51,128.91,3.506,48.82,4.94,4.268,7.502,0.747,-17.088,20.327,0.0013519322474375808,video,0,0
7,19.76,32,0.306,558.47,209.18,4.194,38.01,4.457,5.227,10.086,0.574,-15.483,20.782,0.0017049799937691329,gaming,1,0
2,18.09,32,0.465,511.1,300.29,4.148,47.63,4.451,6.033,10.841,0.871,-20.047,26.104,0.00024238164590904612,gaming,0,0
22,5.91,32,0.817,468.15,237.17,3.363,25.33,5.174,1.582,3.273,0.427,-18.176,24.737,0.0006337062270665514,gaming,0,0
23,12.06,32,0.762,364.07,305.37,5.299,45.51,7.336,4.66,7.852,1.086,-21.37,21.274,0.0018436286124213002,gaming,0,0
31,17.12,32,0.756,876.1,252.77,6.777,65.3,6.409,6.109,8.48,0.876,-20.001,16.846,0.006840779569777644,video,0,0
28,4.44,32,0.606,740.97,249.04,4.039,36.75,2.791,4.188,8.788,0.607,-17.898,23.597,0.0007744093914305734,video,0,0
3,2.7,32,0.421,317.98,128.92,1.112,7.24,0.9,0.161,0.83,0.01,-10.103,24.482,0.000518396176888739,iot,0,0
2,2.04,32,0.417,719.72,193.0,1.85,0.0,1.341,0.05,3.319,0.201,-15.654,24.415,0.0005687486886862314,web,0,0
13,3.97,32,0.764,357.78,191.38,3.807,32.95,4.104,2.638,3.077,0.599,-19.057,24.876,0.0005008984825619783,web,0,0
9,9.09,32,0.223,493.73,74.41,1.743,15.62,1.513,2.663,4.771,0.713,-17.221,25.115,0.0004939563288352148,iot,0,0
4,2.31,32,0.225,352.56,107.84,0.911,7.3,1.459,0.38,1.19,0.154,-16.245,25.906,0.00036507079827443207,iot,0,0
11,11.07,32,0.64,981.9,369.95,3.825,42.72,4.051,3.912,4.334,0.682,-19.796,20.327,0.0025244490266103465,video,0,0
6,19.22,32,0.341,225.52,83.92,0.667,14.61,1.456,3.024,6.423,0.444,-22.684,22.93,0.000679283522569159,iot,0,0
1,16.67,32,0.44,1141.78,243.98,4.378,35.41,7.001,2.725,8.938,0.275,-16.083,21.299,0.0018581666283168442,video,0,0
12,2.52,32,0.215,1118.74,177.81,3.344,33.29,5.035,3.991,5.937,0.676,-17.41,24.78,0.00030812006105246554,web,0,0
3,4.99,32,0.477,515.22,239.43,3.657,24.51,5.472,2.306,5.346,0.132,-17.46,26.394,0.00035686473632660535,gaming,0,0
27,16.56,32,0.862,754.49,312.82,7.094,62.38,9.441,7.56,10.882,1.25,-18.168,19.592,0.001947315319041199,video,1,0
11,5.4,32,0.41,336.46,334.94,5.504,43.73,6.624,2.511,3.442,0.687,-13.077,24.456,0.0003783405482277302,video,0,0
23,15.2,32,0.938,1159.16,424.74,7.852,76.15,8.399,5.156,8.156,0.858,-17.178,19.573,0.0037497735277064906,video,0,0
14,6.14,32,0.503,435.16,180.4,4.302,27.6,6.083,3.767,5.443,0.117,-16.364,22.247,0.0009894391846154292,gaming,0,0
19,8.15,32,0.849,310.95,108.29,0.952,28.55,1.442,3.775,7.949,0.564,-19.459,24.765,0.00043572200145183544,iot,0,0
5,6.83,32,0.704,686.23,306.87,4.272,41.37,5.107,4.142,5.305,0.464,-19.994,23.492,0.0009053508772862566,gaming,0,0
16,4.28,32,0.31,625.75,214.72,5.124,42.4,5.307,2.587,7.308,0.624,-16.481,22.334,0.0008788189347562452,gaming,0,0
12,13.36,32,0.721,852.73,155.77,4.265,60.85,5.452,5.666,7.94,0.599,-16.532,21.877,0.0013176236828941975,web,1,0
28,4.33,32,0.835,558.7,286.58,3.165,43.84,3.855,1.62,4.418,0.491,-18.714,20.788,0.0013701445181043316,gaming,0,0
30,13.78,32,0.554,926.92,205.4,5.631,40.63,7.138,3.32,7.479,0.371,-16.718,22.392,0.0011948082760099685,video,0,0
13,6.01,32,0.891,583.85,159.83,1.412,24.84,1.96,3.082,6.34,0.875,-17.951,22.661,0.0008471572438605064,iot,1,0
31,8.95,32,0.282,1260.52,232.76,5.427,46.69,5.734,3.804,7.018,0.093,-15.242,25.253,0.00037126194925381575,video,0,0
21,11.66,32,0.53,654.62,260.4,5.403,38.62,6.023,5.084,8.547,0.667,-16.757,24.023,0.0005014508822237942,video,0,0
7,6.39,32,0.481,205.67,65.08,0.498,18.22,0.642,4.389,10.088,0.473,-18.753,28.019,0.00015582963266665362,iot,0,0
14,18.16,32,0.926,752.33,148.19,7.175,62.32,10.098,7.478,10.16,0.861,-20.041,23.724,0.000892485295853279,video,0,0
20,19.79,32,0.252,1162.38,258.04,6.358,56.55,6.138,4.855,7.494,0.429,-22.168,18.482,0.0027011550220759246,video,0,0
27,17.88,32,0.873,1123.8,286.13,4.992,49.13,5.155,8.763,12.94,1.343,-20.613,23.57,0.00101737073321973,video,1,0
17,17.41,32,0.78,844.02,351.29,6.31,59.2,8.933,5.473,8.002,1.108,-18.951,21.76,0.0011697573322277716,video,1,0
7,5.89,32,0.452,179.3,76.68,1.065,24.9,0.657,2.042,1.935,0.01,-15.148,25.844,0.00024111898421157242,iot,0,0
15,5.32,32,0.299,908.38,177.05,3.16,44.28,3.56,2.753,3.306,0.8,-16.151,23.192,0.0009172553831076884,web,0,0
32,7.27,32,0.656,583.45,236.77,4.477,48.33,6.41,5.435,9.063,1.032,-16.722,17.341,0.006649477482077143,gaming,0,0
21,10.6,32,0.414,348.72,68.91,1.696,24.59,2.774,5.113,9.691,0.705,-18.971,19.991,0.002524856707020673,iot,0,0
8,5.22,32,0.634,915.33,301.0,4.779,45.71,6.569,2.59,4.518,0.356,-19.631,27.971,0.00016095147738427694,video,1,0
12,12.33,32,0.301,419.38,251.07,3.495,18.97,4.355,3.644,5.59,0.663,-18.03,23.082,0.0007263791076525863,web,0,0
23,6.35,32,0.532,250.48,64.79,0.949,18.7,1.164,2.304,5.81,0.819,-18.129,24.164,0.0007400365095153096,iot,0,0
8,15.75,32,0.599,448.06,259.1,5.478,43.02,7.667,4.557,6.252,1.151,-20.378,22.428,0.001010612084607907,gaming,0,0
2,7.32,32,0.829,997.68,218.9,6.966,46.09,6.758,3.951,6.914,0.626,-21.632,20.144,0.0022341958787914797,video,0,0
12,7.04,32,0.554,1195.3,190.81,4.541,11.88,6.152,3.235,5.368,0.503,-19.152,22.989,0.0008859886669138365,video,0,0
27,7.9,32,0.289,768.56,159.13,3.518,33.52,3.981,3.206,5.058,0.251,-12.037,27.644,0.00011780945027659315,gaming,0,0
6,10.61,32,0.565,730.16,244.25,5.641,28.95,6.791,4.216,8.041,0.862,-17.134,23.758,0.0008692816928071484,video,1,0
24,3.23,32,0.485,367.86,111.31,1.066,22.05,1.088,1.771,2.771,0.057,-16.588,28.842,0.0001598903982760826,iot,0,0
26,17.95,32,0.872,503.33,161.49,1.753,16.02,2.59,3.343,5.979,0.415,-21.924,19.756,0.003378534354984669,iot,0,0
19,4.78,32,0.675,1104.53,254.12,6.959,54.8,9.05,0.195,3.989,0.177,-15.837,26.901,0.0001727328861577919,video,0,0
21,1.68,32,0.468,225.15,120.44,0.732,18.75,0.855,4.403,3.761,1.032,-17.47,25.604,0.00043483450205107914,iot,0,0
25,11.31,32,0.359,805.63,162.06,3.434,45.64,4.934,2.045,2.004,0.164,-18.02,24.445,0.00041188008653902106,web,0,0
18,9.46,32,0.584,956.07,169.43,2.928,35.98,4.024,2.437,2.093,0.438,-16.316,24.097,0.0008103343889983892,web,0,0
13,3.37,32,0.829,777.47,197.85,4.727,25.79,5.609,2.986,5.085,0.573,-17.785,27.511,0.0002922790769748208,gaming,0,0
19,4.79,32,0.575,670.97,192.78,4.327,39.0,4.546,2.07,3.694,0.178,-15.688,26.408,0.00023182921280160876,web,0,0
18,10.59,32,0.469,714.97,226.55,3.997,21.55,3.632,5.483,9.329,0.274,-17.565,24.025,0.0007096903023199991,web,0,0
2,19.93,32,0.79,64.0,105.0,1.415,17.89,1.204,2.705,7.013,0.505,-22.16,17.917,0.005827843226522748,iot,0,0
20,2.57,32,0.727,768.3,317.39,3.448,23.67,3.749,3.5,6.714,0.681,-16.147,23.013,0.0009282369014710564,video,0,0
13,1.62,32,0.412,1043.72,239.85,3.385,32.71,4.684,3.043,5.451,0.609,-18.466,23.658,0.0007351497591474608,video,0,0
22,13.98,32,0.657,550.18,226.63,3.117,41.01,4.438,3.708,5.552,0.417,-20.258,22.566,0.0011302250505704598,web,1,0
10,18.1,32,0.468,816.24,211.02,5.175,32.12,6.643,5.022,7.924,0.4,-21.877,23.879,0.0006387942202618546,gaming,0,0
17,5.09,32,0.485,788.31,255.98,4.555,43.65,4.525,3.873,7.774,0.482,-18.285,24.134,0.000766116923843446,video,0,0
25,11.34,32,0.719,1351.22,177.08,5.355,45.97,6.759,5.116,7.041,0.668,-20.384,25.427,0.00045606512305025344,video,0,0
28,6.78,32,0.538,440.07,144.23,1.513,33.27,2.348,3.19,4.293,0.18,-19.417,25.618,0.00025478414993934575,iot,0,0
18,11.56,32,0.91,909.32,377.07,8.758,89.4,11.263,5.729,6.935,0.999,-18.009,25.207,0.0006055835029544483,video,1,0
23,1.19,32,0.296,352.51,67.48,0.468,0.0,1.24,2.535,7.424,0.346,-15.072,28.233,0.00016533067871248334,iot,0,0
4,7.02,32,0.585,622.82,164.83,2.03,45.92,2.575,4.578,7.608,0.825,-19.092,22.266,0.0008430609638793548,web,0,0
4,6.08,32,0.78,661.67,266.73,6.131,43.83,8.571,2.582,5.36,0.627,-16.339,24.89,0.0004993716834557687,gaming,0,0
12,5.77,32,0.816,1057.0,263.36,4.628,49.37,5.847,4.793,7.102,1.124,-19.167,23.406,0.0009125260121160609,video,0,0
22,5.65,32,0.398,792.11,286.24,3.203,23.89,3.122,2.465,3.752,0.28,-14.764,25.987,0.00023330000942609652,gaming,0,0
26,18.75,32,0.628,386.94,136.14,1.158,30.02,0.632,3.32,7.35,0.558,-21.204,23.104,0.0006035708265504018,iot,0,0
8,13.76,32,0.233,838.47,248.08,3.766,22.41,5.533,1.52,5.864,0.63,-20.671,19.29,0.0017252799013892958,web,0,0
10,8.79,32,0.441,340.48,131.99,1.007,0.0,0.921,2.507,5.869,0.347,-22.008,26.139,0.0002334378119846557,iot,0,0
3,12.82,32,0.648,290.73,64.84,0.96,6.23,1.522,1.425,0.596,0.519,-20.444,20.841,0.0015994364120520302,iot,0,0
4,14.62,32,0.343,1333.49,227.09,7.678,65.24,7.888,4.502,8.648,0.488,-21.599,23.545,0.0007978258550061442,video,1,0
12,13.3,32,0.348,385.85,165.4,0.872,9.89,0.583,1.876,1.918,0.322,-22.101,21.157,0.001079193298583433,iot,0,0
4,17.37,32,0.912,660.64,296.53,4.811,42.17,5.861,5.32,7.537,0.931,-21.773,20.908,0.0021426758374078676,gaming,0,0
20,11.33,32,0.621,373.48,163.02,1.472,34.67,1.723,3.559,7.737,0.55,-18.777,24.72,0.0006535553104338904,iot,0,0
25,4.05,32,0.249,464.43,135.33,3.369,54.7,4.414,2.602,2.761,0.289,-18.214,30.378,8.970990729781957e-05,web,0,0
31,18.77,32,0.655,1090.7,199.15,7.038,74.32,7.321,6.267,8.916,1.209,-19.456,24.309,0.0005567619734597549,video,0,0
7,13.96,32,0.617,582.24,256.16,3.983,33.4,3.785,3.479,5.221,0.35,-16.816,19.45,0.003519852122349415,gaming,0,0
10,16.25,32,0.533,1231.34,263.42,3.413,40.76,5.136,2.316,4.889,0.012,-18.903,23.715,0.0007146605034867501,video,0,0
24,9.65,32,0.526,631.55,139.87,4.465,43.27,6.77,4.55,5.452,0.698,-16.779,23.885,0.0005943381185947539,web,0,0
15,8.04,32,0.573,199.14,119.83,0.87,15.17,1.24,3.091,5.004,0.632,-19.605,24.29,0.000602809224490463,iot,0,0
7,17.53,32,0.209,444.4,73.91,1.703,10.24,2.301,1.965,5.612,0.105,-22.068,25.369,0.00045336942647490624,iot,0,0
20,6.05,32,0.891,1399.99,358.36,6.208,64.38,6.515,4.597,9.06,0.984,-18.997,25.532,0.0003557956034843685,video,0,0
26,12.15,32,0.948,607.36,237.85,3.525,42.56,5.329,4.102,6.58,0.668,-18.071,22.301,0.0013107806779046984,web,0,0
7,14.63,32,0.836,882.65,201.14,4.357,33.29,6.37,5.239,8.162,1.095,-18.268,20.098,0.002811099946027078,web,0,0
13,10.51,32,0.671,733.72,234.39,4.133,37.2,5.652,4.514,7.063,0.682,-19.033,22.728,0.0007753202518416241,gaming,0,0
23,3.75,32,0.538,336.91,72.23,2.495,37.16,3.202,4.065,4.545,0.629,-16.618,26.063,0.00027595287726147856,iot,0,0
28,1.71,32,0.386,1372.54,241.49,5.326,24.52,7.307,1.436,2.234,0.429,-16.266,22.602,0.0011027047479023266,video,0,0
7,11.37,32,0.934,668.02,310.27,6.775,73.51,9.436,7.454,10.346,0.997,-21.081,20.768,0.002479226754734633,video,1,0
18,5.67,32,0.827,408.7,124.35,1.622,35.79,1.65,3.007,5.881,0.56,-15.84,25.024,0.0005705349910687855,iot,0,0
30,15.17,32,0.851,526.21,214.0,3.83,46.57,3.926,3.891,6.68,0.729,-18.169,17.765,0.006620627720946866,web,1,0
15,17.03,32,0.399,758.99,173.33,3.652,20.14,3.052,4.674,8.652,0.483,-18.391,20.726,0.0013065849818169515,web,0,0
11,15.65,32,0.904,962.64,324.2,5.846,76.3,7.198,7.165,9.339,1.124,-20.903,23.815,0.0006219839896479039,video,0,0
4,9.43,32,0.838,1043.03,286.18,8.265,61.94,10.465,3.922,7.651,0.817,-18.181,23.084,0.000663261365641217,video,1,0
21,2.01,32,0.755,888.38,195.64,2.581,35.54,3.531,1.657,3.206,0.402,-15.588,26.744,0.00020843610389656666,web,0,0
4,17.44,32,0.298,1143.13,331.88,4.836,46.26,5.233,4.261,5.798,0.691,-20.823,22.223,0.0009186907393917936,video,0,0
2,9.12,32,0.746,411.02,162.89,0.923,20.14,1.611,4.055,4.784,0.724,-16.037,25.689,0.0004739729030687027,iot,0,0
16,8.62,32,0.819,1179.27,245.98,2.815,42.6,3.262,3.141,6.02,0.182,-18.189,26.207,0.00026323406409291955,web,0,0
14,10.27,32,0.619,990.23,300.41,4.527,34.64,6.435,3.205,5.439,0.399,-20.075,23.457,0.0008784920936521633,video,0,0
17,18.99,32,0.684,927.73,241.2,6.294,59.36,9.017,4.066,5.694,0.897,-21.217,20.667,0.001986029638077016,gaming,0,0
6,14.78,32,0.353,914.92,227.02,3.046,31.94,3.869,2.219,3.019,0.641,-21.769,25.064,0.0004485630359450018,video,0,0
9,10.91,32,0.594,277.85,94.73,1.199,18.1,1.475,3.363,5.517,0.616,-19.025,25.278,0.0005350815775018561,iot,0,0
14,10.15,32,0.89,1047.03,464.85,7.196,63.84,10.27,4.818,8.663,1.146,-17.604,24.561,0.0006081124277252021,video,0,0
23,4.62,32,0.287,645.86,108.89,3.014,31.74,3.659,3.151,6.779,0.452,-19.332,26.581,0.00024234201575540235,web,0,0
15,14.15,32,0.756,610.75,191.84,2.673,29.79,3.044,3.936,8.16,0.402,-21.884,25.008,0.0004805394777303515,web,0,0
16,11.55,32,0.691,656.29,190.11,3.63,34.11,3.429,4.624,5.807,0.594,-16.83,21.022,0.0022123823923751638,web,0,0
28,15.32,32,0.686,1069.36,280.34,5.891,43.67,9.243,2.928,4.896,0.718,-22.357,19.831,0.0019893249587993205,video,0,0
9,4.24,32,0.388,848.97,264.59,4.28,26.35,5.612,2.359,3.007,0.149,-15.468,28.043,0.00014477610623252513,gaming,0,0
26,7.0,32,0.546,1500.0,330.19,5.913,42.1,10.225,3.724,7.269,0.457,-20.132,31.03,5.85352836076374e-05,video,0,0
14,13.14,32,0.625,1293.8,255.79,5.194,54.34,5.912,4.967,8.442,1.122,-20.251,22.197,0.0014799227668751114,video,0,0
18,7.27,32,0.669,871.99,210.57,4.374,37.07,5.181,2.846,5.227,0.477,-19.66,26.091,0.00038786479196934625,web,0,0
1,16.94,32,0.445,884.53,302.18,5.888,41.4,7.537,4.516,13.092,0.801,-22.236,22.966,0.0008412703605437925,video,1,0
4,13.56,32,0.67,497.97,190.14,2.698,38.28,2.467,5.74,9.719,0.868,-17.98,22.008,0.0009859387956735544,web,0,0
30,2.58,32,0.275,878.56,261.63,3.594,36.42,5.536,3.497,7.357,0.363,-16.431,26.012,0.00034328895549417946,gaming,0,0
2,14.35,32,0.206,374.56,131.65,3.449,22.4,3.794,4.295,5.849,0.766,-19.705,23.523,0.000555450245747159,web,0,0
20,2.43,32,0.638,1394.04,292.98,4.922,31.95,5.897,4.138,6.115,0.56,-16.313,22.632,0.0007284591501726619,video,0,0
5,17.12,32,0.646,792.79,301.62,4.155,43.59,5.364,4.831,7.975,1.092,-21.281,22.854,0.0009036444372160607,web,0,0
31,12.18,32,0.877,965.64,498.91,8.029,90.09,11.779,5.213,6.861,0.843,-19.995,18.629,0.005127117688460164,video,1,0
8,1.32,32,0.658,822.63,227.51,2.201,38.55,2.344,4.01,6.982,0.479,-18.5,27.252,0.00015394776139789393,web,0,0
30,19.12,32,0.782,865.97,281.66,8.938,66.38,11.983,5.54,9.323,0.966,-18.449,19.82,0.0018043972839425465,video,0,0
7,6.35,32,0.483,677.71,264.15,3.018,49.36,4.199,4.04,7.824,0.508,-20.384,23.985,0.00040944572550805525,web,0,0
29,15.06,32,0.222,393.66,73.81,1.51,5.41,1.471,3.188,5.751,0.413,-18.671,22.999,0.0009031770834525059,iot,0,0
2,17.5,32,0.61,1277.48,214.72,6.406,42.87,7.965,5.195,6.476,0.707,-18.45,21.471,0.0012182953362877553,video,1,0
21,4.06,32,0.238,219.06,74.75,1.227,15.24,1.004,1.372,4.227,0.01,-15.786,26.394,0.0002894591599863561,iot,0,0
31,2.78,32,0.265,246.71,82.69,1.128,15.61,1.484,3.359,7.343,0.821,-17.407,24.734,0.00047854015365093525,iot,0,0
13,6.79,32,0.265,952.48,217.21,3.299,23.72,3.462,2.902,6.027,0.639,-13.749,19.573,0.0023373799747719104,web,0,0
4,13.34,32,0.25,949.27,136.2,3.717,28.45,5.23,2.435,4.74,0.246,-20.526,22.874,0.0008534634239836018,web,0,0
13,8.96,32,0.242,762.45,90.78,2.857,26.69,3.545,2.806,6.696,0.852,-17.031,28.04,0.00019582070709795235,web,0,0
20,7.2,32,0.581,946.64,288.74,4.334,32.28,4.295,2.518,3.932,0.652,-17.876,26.482,0.00027051039276807003,video,0,0
8,9.12,32,0.508,220.07,54.14,0.913,20.86,0.969,3.463,8.295,0.417,-17.207,24.124,0.0005501289480372586,iot,0,0
7,2.82,32,0.922,980.17,226.19,3.811,45.94,3.821,3.903,4.375,0.501,-16.914,23.849,0.0006352746896340379,web,1,0
25,6.28,32,0.898,1068.29,216.27,2.071,37.31,2.651,2.754,2.567,0.45,-18.936,22.17,0.0008745127974366818,web,0,0
7,5.35,32,0.515,828.45,137.96,3.699,5.64,3.782,2.728,3.897,0.589,-18.712,27.367,0.00018137619824845858,web,0,0
14,9.35,32,0.273,201.07,120.07,0.492,2.29,0.294,3.138,6.476,0.529,-18.626,22.288,0.0007455270373287875,iot,0,0
29,19.32,32,0.82,730.5,328.05,3.936,65.24,5.431,3.995,7.807,0.728,-21.638,22.099,0.0012973939224058973,gaming,1,0
13,18.62,32,0.464,412.75,90.7,1.704,29.35,1.976,5.657,11.27,0.926,-21.464,21.955,0.0011991292409719353,iot,0,0
32,12.77,32,0.907,1012.37,298.16,6.341,65.94,8.911,6.874,9.893,1.281,-19.747,19.375,0.0039566912513846145,video,0,0
21,16.12,32,0.831,773.92,315.74,4.554,55.69,5.007,4.662,7.965,0.858,-20.102,24.625,0.00040897750273262315,video,0,0
5,14.05,32,0.297,1180.93,289.61,6.338,50.51,8.385,3.179,5.455,0.487,-18.317,26.3,0.00029484344176607,video,0,0
24,2.93,32,0.942,1126.05,313.01,6.705,73.72,9.383,2.808,2.736,0.686,-18.074,23.488,0.000871339570796655,video,0,0
17,16.15,32,0.888,875.06,237.37,3.477,36.37,4.243,6.106,6.23,1.025,-19.696,18.686,0.0038350400891869027,web,0,0
1,19.69,32,0.409,404.11,121.92,1.08,35.18,1.194,2.328,4.888,0.608,-21.5,22.317,0.0009709330233612282,iot,0,0
26,8.2,32,0.746,358.03,142.53,0.382,25.72,0.1,4.334,6.313,0.506,-17.384,27.094,0.00017081004361014276,iot,0,0
9,4.45,32,0.222,458.05,331.34,6.106,34.89,7.984,2.346,4.238,0.352,-17.963,29.218,8.56391274010918e-05,video,0,0
25,18.93,32,0.615,738.78,282.81,8.042,62.66,8.073,5.905,9.248,1.086,-17.364,19.34,0.0028544082547748172,video,0,0
21,3.54,32,0.838,377.9,143.23,1.636,35.92,1.879,2.323,4.005,0.364,-17.632,26.524,0.00023176313821174485,iot,0,0
